,genre,path
0,blues,./genres/blues/blues.00000.wav
1,blues,./genres/blues/blues.00001.wav
2,blues,./genres/blues/blues.00002.wav
3,blues,./genres/blues/blues.00003.wav
4,blues,./genres/blues/blues.00004.wav
5,blues,./genres/blues/blues.00005.wav
6,blues,./genres/blues/blues.00006.wav
7,blues,./genres/blues/blues.00007.wav
8,blues,./genres/blues/blues.00008.wav
9,blues,./genres/blues/blues.00009.wav
10,blues,./genres/blues/blues.00010.wav
11,blues,./genres/blues/blues.00011.wav
12,blues,./genres/blues/blues.00012.wav
13,blues,./genres/blues/blues.00013.wav
14,blues,./genres/blues/blues.00014.wav
15,blues,./genres/blues/blues.00015.wav
16,blues,./genres/blues/blues.00016.wav
17,blues,./genres/blues/blues.00017.wav
18,blues,./genres/blues/blues.00018.wav
19,blues,./genres/blues/blues.00019.wav
20,blues,./genres/blues/blues.00020.wav
21,blues,./genres/blues/blues.00021.wav
22,blues,./genres/blues/blues.00022.wav
23,blues,./genres/blues/blues.00023.wav
24,blues,./genres/blues/blues.00024.wav
25,blues,./genres/blues/blues.00025.wav
26,blues,./genres/blues/blues.00026.wav
27,blues,./genres/blues/blues.00027.wav
28,blues,./genres/blues/blues.00028.wav
29,blues,./genres/blues/blues.00029.wav
30,blues,./genres/blues/blues.00030.wav
31,blues,./genres/blues/blues.00031.wav
32,blues,./genres/blues/blues.00032.wav
33,blues,./genres/blues/blues.00033.wav
34,blues,./genres/blues/blues.00034.wav
35,blues,./genres/blues/blues.00035.wav
36,blues,./genres/blues/blues.00036.wav
37,blues,./genres/blues/blues.00037.wav
38,blues,./genres/blues/blues.00038.wav
39,blues,./genres/blues/blues.00039.wav
40,blues,./genres/blues/blues.00040.wav
41,blues,./genres/blues/blues.00041.wav
42,blues,./genres/blues/blues.00042.wav
43,blues,./genres/blues/blues.00043.wav
44,blues,./genres/blues/blues.00044.wav
45,blues,./genres/blues/blues.00045.wav
46,blues,./genres/blues/blues.00046.wav
47,blues,./genres/blues/blues.00047.wav
48,blues,./genres/blues/blues.00048.wav
49,blues,./genres/blues/blues.00049.wav
50,blues,./genres/blues/blues.00050.wav
51,blues,./genres/blues/blues.00051.wav
52,blues,./genres/blues/blues.00052.wav
53,blues,./genres/blues/blues.00053.wav
54,blues,./genres/blues/blues.00054.wav
55,blues,./genres/blues/blues.00055.wav
56,blues,./genres/blues/blues.00056.wav
57,blues,./genres/blues/blues.00057.wav
58,blues,./genres/blues/blues.00058.wav
59,blues,./genres/blues/blues.00059.wav
